"","k1","k2","Temp","Sunlight","Predation","Target","Water","T90"
"Vvul35estlt",-33.3253,12.7886,35,0,0,2,1,16.1
"Ye4Blt",-10.1785,7.0999,16,0,1,2,0,5.7
"YEAT10lt",-22.0875,6.2004,10,0,0,2,0,50.2
"YEAT210lt",-20.4287,5.8086,10,0,0,2,0,49.2
"YEAT24lt",-41.9772,10.7197,4,0,0,2,0,61.6
"YEAT4lt",-41.3387,10.5284,4,0,0,2,0,62.5
"YeB6lt",-10.3322,7.1517,16,0,1,2,0,5.8
"YeB7lt",-9.545,7.2934,16,0,1,2,0,5
"YEUN10lt",-7.7293,5.8393,10,0,1,2,0,5.5
"YEUN4lt",-13.6558,6.7243,4,0,1,2,0,10.6
"ZJ220Clt",-4.0245,5.0045,20,0,1,3,0,3.5
"ZJ24Clt",-11.632,3.8285,4,0,1,3,0,37
